asset,market_key,market_title,tf_slug,ce_ts,bot_pnl,bot_spent,candidate_pnl,candidate_spent,candidate_trade_count,delta_pnl
btc,btc:m5:1775331000,"Bitcoin Up or Down - April 4, 3:30PM-3:35PM ET",m5,2026-04-04T19:35:00+00:00,0.06,265.46,-23.925,23.925,1,-23.985
btc,btc:m5:1775331300,"Bitcoin Up or Down - April 4, 3:35PM-3:40PM ET",m5,2026-04-04T19:40:00+00:00,-44.39,130.83,0.0,0.0,0,44.39
btc,btc:m5:1775331600,"Bitcoin Up or Down - April 4, 3:40PM-3:45PM ET",m5,2026-04-04T19:45:00+00:00,-151.0,524.23,-23.925,23.925,1,127.075
btc,btc:m15:1775331000,"Bitcoin Up or Down - April 4, 3:30PM-3:45PM ET",m15,2026-04-04T19:45:00+00:00,-97.1,1471.84,0.0,0.0,0,97.1
btc,btc:m5:1775331900,"Bitcoin Up or Down - April 4, 3:45PM-3:50PM ET",m5,2026-04-04T19:50:00+00:00,-44.5,358.97,0.0,0.0,0,44.5
btc,btc:m5:1775332200,"Bitcoin Up or Down - April 4, 3:50PM-3:55PM ET",m5,2026-04-04T19:55:00+00:00,-4.64,336.46,0.0,0.0,0,4.64
btc,btc:m15:1775331900,"Bitcoin Up or Down - April 4, 3:45PM-4:00PM ET",m15,2026-04-04T20:00:00+00:00,110.32,2220.81,0.0,0.0,0,-110.32
btc,btc:h1:1775329200,"Bitcoin Up or Down - April 4, 3PM ET",h1,2026-04-04T20:00:00+00:00,5.48,5395.2,0.0,0.0,0,-5.48
btc,btc:m5:1775332500,"Bitcoin Up or Down - April 4, 3:55PM-4:00PM ET",m5,2026-04-04T20:00:00+00:00,8.15,82.0,-23.925,23.925,1,-32.075
btc,btc:m5:1775332800,"Bitcoin Up or Down - April 4, 4:00PM-4:05PM ET",m5,2026-04-04T20:05:00+00:00,71.04,306.8,-23.925,23.925,1,-94.965
btc,btc:m5:1775333100,"Bitcoin Up or Down - April 4, 4:05PM-4:10PM ET",m5,2026-04-04T20:10:00+00:00,0.57,112.66,0.0,0.0,0,-0.57
btc,btc:m15:1775332800,"Bitcoin Up or Down - April 4, 4:00PM-4:15PM ET",m15,2026-04-04T20:15:00+00:00,77.35,758.19,0.0,0.0,0,-77.35
btc,btc:m5:1775333400,"Bitcoin Up or Down - April 4, 4:10PM-4:15PM ET",m5,2026-04-04T20:15:00+00:00,-89.77,689.55,0.0,0.0,0,89.77
btc,btc:m5:1775333700,"Bitcoin Up or Down - April 4, 4:15PM-4:20PM ET",m5,2026-04-04T20:20:00+00:00,40.78,381.0,0.0,0.0,0,-40.78
btc,btc:m5:1775334000,"Bitcoin Up or Down - April 4, 4:20PM-4:25PM ET",m5,2026-04-04T20:25:00+00:00,119.2,978.74,0.0,0.0,0,-119.2
btc,btc:m15:1775333700,"Bitcoin Up or Down - April 4, 4:15PM-4:30PM ET",m15,2026-04-04T20:30:00+00:00,-10.74,622.4,0.0,0.0,0,10.74
btc,btc:m5:1775334300,"Bitcoin Up or Down - April 4, 4:25PM-4:30PM ET",m5,2026-04-04T20:30:00+00:00,37.53,1243.02,0.0,0.0,0,-37.53
btc,btc:m5:1775334600,"Bitcoin Up or Down - April 4, 4:30PM-4:35PM ET",m5,2026-04-04T20:35:00+00:00,-59.13,946.08,0.0,0.0,0,59.13
btc,btc:m5:1775334900,"Bitcoin Up or Down - April 4, 4:35PM-4:40PM ET",m5,2026-04-04T20:40:00+00:00,256.96,610.72,0.0,0.0,0,-256.96
btc,btc:m5:1775335200,"Bitcoin Up or Down - April 4, 4:40PM-4:45PM ET",m5,2026-04-04T20:45:00+00:00,-145.24,855.59,0.0,0.0,0,145.24
btc,btc:m15:1775334600,"Bitcoin Up or Down - April 4, 4:30PM-4:45PM ET",m15,2026-04-04T20:45:00+00:00,-339.12,2539.25,0.0,0.0,0,339.12
btc,btc:m5:1775335500,"Bitcoin Up or Down - April 4, 4:45PM-4:50PM ET",m5,2026-04-04T20:50:00+00:00,12.71,507.35,0.0,0.0,0,-12.71
btc,btc:m5:1775335800,"Bitcoin Up or Down - April 4, 4:50PM-4:55PM ET",m5,2026-04-04T20:55:00+00:00,172.5,682.5,0.0,0.0,0,-172.5
btc,btc:h1:1775332800,"Bitcoin Up or Down - April 4, 4PM ET",h1,2026-04-04T21:00:00+00:00,186.43,5041.06,0.0,0.0,0,-186.43
btc,btc:m15:1775335500,"Bitcoin Up or Down - April 4, 4:45PM-5:00PM ET",m15,2026-04-04T21:00:00+00:00,148.46,1691.29,0.0,0.0,0,-148.46
