asset,market_key,market_title,tf_slug,ce_ts,bot_pnl,bot_spent,candidate_pnl,candidate_spent,candidate_trade_count,delta_pnl
eth,eth:m15:1775336400,"Ethereum Up or Down - April 4, 5:00PM-5:15PM ET",m15,2026-04-04T21:15:00+00:00,-5.77,687.07,0.0,0.0,0,5.77
eth,eth:m5:1775337300,"Ethereum Up or Down - April 4, 5:15PM-5:20PM ET",m5,2026-04-04T21:20:00+00:00,-14.37,301.47,0.0,0.0,0,14.37
eth,eth:m5:1775337600,"Ethereum Up or Down - April 4, 5:20PM-5:25PM ET",m5,2026-04-04T21:25:00+00:00,-6.69,188.63,0.0,0.0,0,6.69
eth,eth:m5:1775337900,"Ethereum Up or Down - April 4, 5:25PM-5:30PM ET",m5,2026-04-04T21:30:00+00:00,20.77,236.89,0.0,0.0,0,-20.77
eth,eth:m15:1775337300,"Ethereum Up or Down - April 4, 5:15PM-5:30PM ET",m15,2026-04-04T21:30:00+00:00,22.2,338.34,0.0,0.0,0,-22.2
eth,eth:m5:1775338200,"Ethereum Up or Down - April 4, 5:30PM-5:35PM ET",m5,2026-04-04T21:35:00+00:00,14.27,340.75,0.0,0.0,0,-14.27
eth,eth:m5:1775338500,"Ethereum Up or Down - April 4, 5:35PM-5:40PM ET",m5,2026-04-04T21:40:00+00:00,-1.79,261.97,0.0,0.0,0,1.79
eth,eth:m5:1775338800,"Ethereum Up or Down - April 4, 5:40PM-5:45PM ET",m5,2026-04-04T21:45:00+00:00,51.56,394.13,0.0,0.0,0,-51.56
eth,eth:m15:1775338200,"Ethereum Up or Down - April 4, 5:30PM-5:45PM ET",m15,2026-04-04T21:45:00+00:00,48.91,938.76,0.0,0.0,0,-48.91
eth,eth:m5:1775339100,"Ethereum Up or Down - April 4, 5:45PM-5:50PM ET",m5,2026-04-04T21:50:00+00:00,59.26,331.29,0.0,0.0,0,-59.26
eth,eth:m5:1775339400,"Ethereum Up or Down - April 4, 5:50PM-5:55PM ET",m5,2026-04-04T21:55:00+00:00,3.34,411.1,0.0,0.0,0,-3.34
eth,eth:m5:1775339700,"Ethereum Up or Down - April 4, 5:55PM-6:00PM ET",m5,2026-04-04T22:00:00+00:00,-59.51,563.99,0.0,0.0,0,59.51
eth,eth:h1:1775336400,"Ethereum Up or Down - April 4, 5PM ET",h1,2026-04-04T22:00:00+00:00,-53.57,1037.56,0.0,0.0,0,53.57
eth,eth:m15:1775339100,"Ethereum Up or Down - April 4, 5:45PM-6:00PM ET",m15,2026-04-04T22:00:00+00:00,27.85,731.11,0.0,0.0,0,-27.85
eth,eth:m5:1775340000,"Ethereum Up or Down - April 4, 6:00PM-6:05PM ET",m5,2026-04-04T22:05:00+00:00,38.4,449.0,0.0,0.0,0,-38.4
eth,eth:m5:1775340300,"Ethereum Up or Down - April 4, 6:05PM-6:10PM ET",m5,2026-04-04T22:10:00+00:00,90.95,409.05,-2.155820895522388,6.28,1,-93.10582089552238
eth,eth:m5:1775340600,"Ethereum Up or Down - April 4, 6:10PM-6:15PM ET",m5,2026-04-04T22:15:00+00:00,-56.19,391.77,0.0,0.0,0,56.19
eth,eth:m15:1775340000,"Ethereum Up or Down - April 4, 6:00PM-6:15PM ET",m15,2026-04-04T22:15:00+00:00,47.87,599.23,0.0,0.0,0,-47.87
eth,eth:m5:1775340900,"Ethereum Up or Down - April 4, 6:15PM-6:20PM ET",m5,2026-04-04T22:20:00+00:00,2.35,236.79,0.0,0.0,0,-2.35
eth,eth:m5:1775341200,"Ethereum Up or Down - April 4, 6:20PM-6:25PM ET",m5,2026-04-04T22:25:00+00:00,65.44,608.98,0.0,0.0,0,-65.44
eth,eth:m15:1775340900,"Ethereum Up or Down - April 4, 6:15PM-6:30PM ET",m15,2026-04-04T22:30:00+00:00,47.67,248.12,0.0,0.0,0,-47.67
eth,eth:m5:1775341500,"Ethereum Up or Down - April 4, 6:25PM-6:30PM ET",m5,2026-04-04T22:30:00+00:00,16.0,403.18,0.0,0.0,0,-16.0
eth,eth:m5:1775341800,"Ethereum Up or Down - April 4, 6:30PM-6:35PM ET",m5,2026-04-04T22:35:00+00:00,-5.25,301.16,0.0,0.0,0,5.25
eth,eth:m5:1775342100,"Ethereum Up or Down - April 4, 6:35PM-6:40PM ET",m5,2026-04-04T22:40:00+00:00,94.56,339.83,0.0,0.0,0,-94.56
eth,eth:m15:1775341800,"Ethereum Up or Down - April 4, 6:30PM-6:45PM ET",m15,2026-04-04T22:45:00+00:00,-21.85,237.62,0.0,0.0,0,21.85
eth,eth:m5:1775342400,"Ethereum Up or Down - April 4, 6:40PM-6:45PM ET",m5,2026-04-04T22:45:00+00:00,39.4,407.66,0.0,0.0,0,-39.4
eth,eth:m5:1775342700,"Ethereum Up or Down - April 4, 6:45PM-6:50PM ET",m5,2026-04-04T22:50:00+00:00,-9.17,197.15,0.0,0.0,0,9.17
eth,eth:m5:1775343000,"Ethereum Up or Down - April 4, 6:50PM-6:55PM ET",m5,2026-04-04T22:55:00+00:00,-19.42,259.94,0.0,0.0,0,19.42
eth,eth:h1:1775340000,"Ethereum Up or Down - April 4, 6PM ET",h1,2026-04-04T23:00:00+00:00,211.56,1618.42,5.6325806451612905,9.19,1,-205.92741935483872
eth,eth:m5:1775343300,"Ethereum Up or Down - April 4, 6:55PM-7:00PM ET",m5,2026-04-04T23:00:00+00:00,39.53,390.29,-0.6371014492753622,6.28,1,-40.167101449275364
eth,eth:m15:1775342700,"Ethereum Up or Down - April 4, 6:45PM-7:00PM ET",m15,2026-04-04T23:00:00+00:00,3.19,427.34,0.0,0.0,0,-3.19
eth,eth:m5:1775343600,"Ethereum Up or Down - April 4, 7:00PM-7:05PM ET",m5,2026-04-04T23:05:00+00:00,-22.46,195.2,0.0,0.0,0,22.46
eth,eth:m5:1775343900,"Ethereum Up or Down - April 4, 7:05PM-7:10PM ET",m5,2026-04-04T23:10:00+00:00,-25.41,184.74,0.0,0.0,0,25.41
eth,eth:m15:1775343600,"Ethereum Up or Down - April 4, 7:00PM-7:15PM ET",m15,2026-04-04T23:15:00+00:00,-4.17,83.86,0.0,0.0,0,4.17
eth,eth:m5:1775344200,"Ethereum Up or Down - April 4, 7:10PM-7:15PM ET",m5,2026-04-04T23:15:00+00:00,-2.6,425.84,0.0,0.0,0,2.6
eth,eth:m5:1775344500,"Ethereum Up or Down - April 4, 7:15PM-7:20PM ET",m5,2026-04-04T23:20:00+00:00,77.1,348.74,1.124776119402985,6.28,1,-75.97522388059701
eth,eth:m5:1775344800,"Ethereum Up or Down - April 4, 7:20PM-7:25PM ET",m5,2026-04-04T23:25:00+00:00,15.97,257.97,0.0,0.0,0,-15.97
eth,eth:m5:1775345100,"Ethereum Up or Down - April 4, 7:25PM-7:30PM ET",m5,2026-04-04T23:30:00+00:00,19.17,643.8,0.0,0.0,0,-19.17
eth,eth:m15:1775344500,"Ethereum Up or Down - April 4, 7:15PM-7:30PM ET",m15,2026-04-04T23:30:00+00:00,17.92,337.6,0.0,0.0,0,-17.92
eth,eth:m5:1775345400,"Ethereum Up or Down - April 4, 7:30PM-7:35PM ET",m5,2026-04-04T23:35:00+00:00,-9.36,378.05,0.0,0.0,0,9.36
eth,eth:m5:1775345700,"Ethereum Up or Down - April 4, 7:35PM-7:40PM ET",m5,2026-04-04T23:40:00+00:00,-0.52,299.6,0.0,0.0,0,0.52
eth,eth:m5:1775346000,"Ethereum Up or Down - April 4, 7:40PM-7:45PM ET",m5,2026-04-04T23:45:00+00:00,35.83,649.14,0.0,0.0,0,-35.83
eth,eth:m15:1775345400,"Ethereum Up or Down - April 4, 7:30PM-7:45PM ET",m15,2026-04-04T23:45:00+00:00,-11.27,485.15,0.0,0.0,0,11.27
eth,eth:m5:1775346300,"Ethereum Up or Down - April 4, 7:45PM-7:50PM ET",m5,2026-04-04T23:50:00+00:00,14.09,641.48,0.0,0.0,0,-14.09
eth,eth:m5:1775346600,"Ethereum Up or Down - April 4, 7:50PM-7:55PM ET",m5,2026-04-04T23:55:00+00:00,41.56,301.22,0.0,0.0,0,-41.56
eth,eth:h1:1775343600,"Ethereum Up or Down - April 4, 7PM ET",h1,2026-04-05T00:00:00+00:00,-5.66,287.61,0.0,0.0,0,5.66
eth,eth:m5:1775346900,"Ethereum Up or Down - April 4, 7:55PM-8:00PM ET",m5,2026-04-05T00:00:00+00:00,4.49,509.88,0.0,0.0,0,-4.49
eth,eth:m15:1775346300,"Ethereum Up or Down - April 4, 7:45PM-8:00PM ET",m15,2026-04-05T00:00:00+00:00,-1.15,761.37,0.0,0.0,0,1.15
eth,eth:m5:1775347200,"Ethereum Up or Down - April 4, 8:00PM-8:05PM ET",m5,2026-04-05T00:05:00+00:00,-13.12,329.0,0.0,0.0,0,13.12
eth,eth:m5:1775347500,"Ethereum Up or Down - April 4, 8:05PM-8:10PM ET",m5,2026-04-05T00:10:00+00:00,22.84,349.29,0.0,0.0,0,-22.84
eth,eth:m5:1775347800,"Ethereum Up or Down - April 4, 8:10PM-8:15PM ET",m5,2026-04-05T00:15:00+00:00,10.91,369.45,0.0,0.0,0,-10.91
eth,eth:m15:1775347200,"Ethereum Up or Down - April 4, 8:00PM-8:15PM ET",m15,2026-04-05T00:15:00+00:00,-12.46,286.6,0.0,0.0,0,12.46
eth,eth:m5:1775348100,"Ethereum Up or Down - April 4, 8:15PM-8:20PM ET",m5,2026-04-05T00:20:00+00:00,-9.67,373.24,0.0,0.0,0,9.67
eth,eth:m5:1775348400,"Ethereum Up or Down - April 4, 8:20PM-8:25PM ET",m5,2026-04-05T00:25:00+00:00,16.39,377.4,0.0,0.0,0,-16.39
eth,eth:m15:1775348100,"Ethereum Up or Down - April 4, 8:15PM-8:30PM ET",m15,2026-04-05T00:30:00+00:00,3.34,395.63,0.0,0.0,0,-3.34
eth,eth:m5:1775348700,"Ethereum Up or Down - April 4, 8:25PM-8:30PM ET",m5,2026-04-05T00:30:00+00:00,175.31,451.86,0.0,0.0,0,-175.31
eth,eth:m5:1775349000,"Ethereum Up or Down - April 4, 8:30PM-8:35PM ET",m5,2026-04-05T00:35:00+00:00,-12.62,465.19,0.0,0.0,0,12.62
eth,eth:m5:1775349300,"Ethereum Up or Down - April 4, 8:35PM-8:40PM ET",m5,2026-04-05T00:40:00+00:00,-19.02,257.42,0.0,0.0,0,19.02
