tf,side,folder,fill_price,ask_at_fill,ask_1s,ask_2s,delta_fill_vs_ask,ask_drop_2s,spot
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.25,0.5,0.5,0.52,-0.25,0.020000000000000018,71082.0
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.25,0.5,0.5,0.52,-0.25,0.020000000000000018,71082.0
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.25,0.5,0.5,0.52,-0.25,0.020000000000000018,71082.0
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.61,0.47,0.47,0.47,0.14,0.0,71082.0
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.61,0.48,0.48,0.48,0.13,0.0,71086.4
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.52,0.52,-0.35,0.020000000000000018,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.52,0.52,-0.35,0.020000000000000018,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.52,0.52,-0.35,0.020000000000000018,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.52,0.52,-0.35,0.020000000000000018,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.52,0.52,-0.35,0.020000000000000018,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.52,0.52,-0.35,0.020000000000000018,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.52,0.52,-0.35,0.020000000000000018,71082.43
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.62,0.48,0.48,0.48,0.14,0.0,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.52,0.52,-0.35,0.020000000000000018,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.52,0.52,-0.35,0.020000000000000018,71082.43
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.8291,0.51,0.51,0.51,0.31909999999999994,0.0,71082.43
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.8,0.51,0.51,0.51,0.29000000000000004,0.0,71082.43
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.8,0.51,0.51,0.51,0.29000000000000004,0.0,71082.43
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.8,0.51,0.51,0.51,0.29000000000000004,0.0,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.5,0.5,-0.35,0.0,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.15,0.5,0.5,0.5,-0.35,0.0,71082.43
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.18,0.51,0.5,0.5,-0.33,-0.010000000000000009,71082.44
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.22,0.54,0.54,0.54,-0.32000000000000006,0.0,71076.82
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.2,0.54,0.54,0.54,-0.34,0.0,71076.82
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.22,0.54,0.54,0.54,-0.32000000000000006,0.0,71076.82
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.22,0.54,0.54,0.54,-0.32000000000000006,0.0,71076.82
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.22,0.52,0.52,0.54,-0.30000000000000004,0.020000000000000018,71076.82
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.22,0.52,0.52,0.52,-0.30000000000000004,0.0,71076.81
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.18,0.53,0.52,0.52,-0.35000000000000003,-0.010000000000000009,71076.81
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.66,0.48,0.48,0.48,0.18000000000000005,0.0,71076.81
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.66,0.48,0.48,0.48,0.18000000000000005,0.0,71076.81
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.25,0.47,0.47,0.47,-0.21999999999999997,0.0,71086.03
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.24,0.47,0.47,0.47,-0.22999999999999998,0.0,71086.03
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.24,0.47,0.47,0.47,-0.22999999999999998,0.0,71086.03
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.25,0.47,0.47,0.47,-0.21999999999999997,0.0,71086.03
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.24,0.47,0.47,0.47,-0.22999999999999998,0.0,71086.03
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.24,0.47,0.47,0.47,-0.22999999999999998,0.0,71086.03
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.24,0.47,0.47,0.47,-0.22999999999999998,0.0,71086.03
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.25,0.47,0.47,0.47,-0.21999999999999997,0.0,71086.03
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.24,0.47,0.47,0.47,-0.22999999999999998,0.0,71086.03
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.8,0.54,0.54,0.54,0.26,0.0,71086.02
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.25,0.47,0.47,0.47,-0.21999999999999997,0.0,71086.02
