asset,market_key,market_title,tf_slug,side,signal_ts,signed_open_pct,signed_move_30s_pct,ask_c,rule_key,entry_j,entry_ts,entry_price,size_usd,shares,exit_j,exit_ts,exit_price,exit_reason,won_up,won_side,pnl,return_pct
btc,btc:m15:1775852100,"Bitcoin Up or Down - April 10, 4:15PM-4:30PM ET",m15,DOWN,2026-04-10T20:22:34.355000+00:00,0.0463525651195474,0.032057679794017,55.00000000000001,btc|m15|Down,1687,2026-04-10 20:22:34.355,0.55,11.2,20.36363636363636,,2026-04-10 20:29:58.542,,settlement,True,False,-11.2,-100.0
btc,btc:m15:1775853000,"Bitcoin Up or Down - April 10, 4:30PM-4:45PM ET",m15,DOWN,2026-04-10T20:33:58.047000+00:00,0.0480141762640387,0.0341983257155066,60.0,btc|m15|Down,1263,2026-04-10 20:33:58.047,0.6,11.2,18.666666666666668,,2026-04-10 20:44:59.804,,settlement,False,True,7.466666666666669,66.66666666666669
btc,btc:m15:1775856600,"Bitcoin Up or Down - April 10, 5:30PM-5:45PM ET",m15,DOWN,2026-04-10T21:38:36.983000+00:00,0.0449950681903055,0.0301380769909515,54.0,btc|m15|Down,1598,2026-04-10 21:38:36.983,0.54,11.2,20.740740740740737,,2026-04-10 21:44:59.167,,settlement,False,True,9.540740740740738,85.18518518518516
btc,btc:m15:1775857500,"Bitcoin Up or Down - April 10, 5:45PM-6:00PM ET",m15,UP,2026-04-10T21:49:26.608000+00:00,0.0487107127024797,0.0153016512507424,68.0,btc|m15|Up,831,2026-04-10 21:49:26.608,0.68,16.299999999999997,23.970588235294112,,2026-04-10 21:59:59.244,,settlement,True,True,7.670588235294115,47.05882352941176
btc,btc:m15:1775858400,"Bitcoin Up or Down - April 10, 6:00PM-6:15PM ET",m15,DOWN,2026-04-10T22:03:31.896000+00:00,0.0772229575163119,-0.0440356673876546,61.0,btc|m15|Down,1108,2026-04-10 22:03:31.896,0.61,11.2,18.360655737704917,,2026-04-10 22:14:59.171,,settlement,False,True,7.160655737704918,63.934426229508205
btc,btc:m15:1775859300,"Bitcoin Up or Down - April 10, 6:15PM-6:30PM ET",m15,DOWN,2026-04-10T22:19:09.771000+00:00,0.0571096372444488,0.0267915004784959,55.00000000000001,btc|m15|Down,1013,2026-04-10 22:19:09.771,0.55,11.2,20.36363636363636,,2026-04-10 22:29:59.342,,settlement,False,True,9.16363636363636,81.81818181818178
btc,btc:m5:1775327400,"Bitcoin Up or Down - April 4, 2:30PM-2:35PM ET",m5,UP,2026-04-04T18:32:04.997000+00:00,-0.024830699774268,-0.0224397053582045,35.0,btc|m5|Up,313,2026-04-04 18:32:04.997,0.35,23.925,68.35714285714286,,2026-04-04 18:34:59.982,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775328900,"Bitcoin Up or Down - April 4, 2:55PM-3:00PM ET",m5,UP,2026-04-04T18:58:14.203000+00:00,-0.0399579921183145,-0.0184787145707075,8.0,btc|m5|Up,455,2026-04-04 18:58:14.203,0.08,23.925,299.0625,,2026-04-04 19:00:00.000,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775329800,"Bitcoin Up or Down - April 4, 3:10PM-3:15PM ET",m5,UP,2026-04-04T19:11:38.966000+00:00,0.0218092994852962,0.0270316623552517,60.0,btc|m5|Up,410,2026-04-04 19:11:38.966,0.6,23.925,39.875,,2026-04-04 19:14:58.599,,settlement,True,True,15.95,66.66666666666666
btc,btc:m5:1775330100,"Bitcoin Up or Down - April 4, 3:15PM-3:20PM ET",m5,UP,2026-04-04T19:16:17.688000+00:00,-0.1080044961871875,-0.0146820926915675,11.0,btc|m5|Up,512,2026-04-04 19:16:17.688,0.11,23.925,217.5,,2026-04-04 19:19:58.016,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775330400,"Bitcoin Up or Down - April 4, 3:20PM-3:25PM ET",m5,UP,2026-04-04T19:21:49.834000+00:00,-0.0220194880624589,-0.0193652871445004,28.000000000000004,btc|m5|Up,202,2026-04-04 19:21:49.834,0.28,23.925,85.44642857142857,,2026-04-04 19:24:59.714,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775330700,"Bitcoin Up or Down - April 4, 3:25PM-3:30PM ET",m5,UP,2026-04-04T19:26:51.735000+00:00,-0.0291433574216132,-0.0291433574216132,17.0,btc|m5|Up,238,2026-04-04 19:26:51.735,0.17,23.925,140.73529411764704,,2026-04-04 19:29:58.921,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775331000,"Bitcoin Up or Down - April 4, 3:30PM-3:35PM ET",m5,UP,2026-04-04T19:31:20.626000+00:00,-0.0233204662549534,-0.0181694784825356,20.0,btc|m5|Up,243,2026-04-04 19:31:20.626,0.2,23.925,119.625,,2026-04-04 19:34:57.422,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775331600,"Bitcoin Up or Down - April 4, 3:40PM-3:45PM ET",m5,UP,2026-04-04T19:41:36.933000+00:00,-0.0294135115070492,-0.0294135115070492,18.0,btc|m5|Up,200,2026-04-04 19:41:36.933,0.18,23.925,132.91666666666669,,2026-04-04 19:44:58.959,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775332500,"Bitcoin Up or Down - April 4, 3:55PM-4:00PM ET",m5,UP,2026-04-04T19:58:40.823000+00:00,-0.0456158842500158,-0.0228599302705276,4.0,btc|m5|Up,716,2026-04-04 19:58:40.823,0.04,23.925,598.125,,2026-04-04 19:59:59.517,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775332800,"Bitcoin Up or Down - April 4, 4:00PM-4:05PM ET",m5,UP,2026-04-04T20:02:50.981000+00:00,-0.0422360935209925,-0.0305253117846928,10.0,btc|m5|Up,501,2026-04-04 20:02:50.981,0.1,23.925,239.25,,2026-04-04 20:04:58.866,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775337000,"Bitcoin Up or Down - April 4, 5:10PM-5:15PM ET",m5,UP,2026-04-04T21:13:01.188000+00:00,-0.0383188119206269,-0.022548346657714,22.0,btc|m5|Up,409,2026-04-04 21:13:01.188,0.22,23.925,108.75,,2026-04-04 21:14:59.546,,settlement,False,False,-23.925,-100.0
btc,btc:m5:1775339400,"Bitcoin Up or Down - April 4, 5:50PM-5:55PM ET",m5,UP,2026-04-04T21:51:34.829000+00:00,-0.0218682362309848,-0.0199976335391359,32.0,btc|m5|Up,332,2026-04-04 21:51:34.829,0.32,23.925,74.765625,,2026-04-04 21:54:59.230,,settlement,True,True,50.840625,212.5
